Analyst Type,Job Title,Company Name,Rating,Job Location,Job State,Lower Salary USD,Upper Salary USD,Average Salary,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Business Analyst","Business Analyst - Clinical & Logistics Platform","Memorial Sloan-Kettering
",3.9,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1884-01-01 00:00:00.000,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)"
"Business Analyst","Data Analyst","Asembia
",3.6,"Florham Park"," NJ",56000.0,102000.0,79000.0,"501 to 1000",2004-01-01 00:00:00.000,"Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$5 to $10 million (USD)"
"Business Analyst","Information Security Analyst, Incident Response","BD
",3.6,"Franklin Lakes"," NJ",56000.0,102000.0,79000.0,"10000+",1897-01-01 00:00:00.000,"Public","Health Care Products Manufacturing","Manufacturing","$10+ billion (USD)"
"Business Analyst","Analyst - FP&A Global Revenue","Rubicon Project
",3.4,"New York"," NY",56000.0,102000.0,79000.0,"201 to 500",2007-01-01 00:00:00.000,"Public","Internet","Information Technology","$100 to $500 million (USD)"
"Business Analyst","Data Analyst","Sapphire Digital
",3.4,"Lyndhurst"," NJ",56000.0,102000.0,79000.0,"201 to 500",2019-01-01 00:00:00.000,"Private","Internet","Information Technology","Unknown / Non-Applicable"
"Business Analyst","Investment Analyst - Graduate","Swiss Re
",3.8,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1863-01-01 00:00:00.000,"Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)"
"Business Analyst","IT Business Process Analysis","Bristol-Myers Squibb
",3.8,"Jersey City"," NJ",56000.0,102000.0,79000.0,"10000+",1858-01-01 00:00:00.000,"Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Business Analyst","Tolling Business Analyst","Gannett Fleming
",4.2,"New York"," NY",56000.0,102000.0,79000.0,"1001 to 5000",1915-01-01 00:00:00.000,"Private","Architectural & Engineering Services","Business Services","$100 to $500 million (USD)"
"Business Analyst","Business Analyst - Risk","McKinsey
",4.4,"New York"," NY",56000.0,102000.0,79000.0,"10000+",1926-01-01 00:00:00.000,"Private","Consulting","Business Services","Unknown / Non-Applicable"
"Business Analyst","Business Development Analyst","Red Balloon Security
",4.4,"New York"," NY",56000.0,102000.0,79000.0,"1 to 50",2011-01-01 00:00:00.000,"Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
